Description,Sentiment
Only 2 boxes given. Of my main order. Add on not given,0
,
Food came late and is cold,0
,
Insted of corn n chese you have given me chicken and cheese,0
,
"Issue created by mansi.pk_tm@external.swiggy.in on Oct 23, 2021, 10:52 AM",
,
The burger bun is totally burnt.,0
,
Dip was all spilled up,0
,
This momo order tasted very  bad and  found a dead insect inside the momo packet,0
,
Its very pale and not well cooked,0
,
Sauce was missing,0
,
Only received 2 veg steam momo. Order was for 3,0
,
this ain't chicken cheese fried momo. this is rather chicken cheese pan fried momo,0
,
3 out of 5 momo are burnt and un-eatable.,0
,
"Issue created by juhi.a6_cb@external.swiggy.in on Oct 21, 2021, 11:05 PM",
,
It was spoiled food,0
,
cheese is not there inside the momos but I have received Only corn momos with little tomato garlic sauce,0
,
- Only a very small portion of the order was delivered to me.. Just 3 pieces and the seal was also broken. I ahvent touched it. Please get it returned.,0
,
Its totally uncooked,0
,
"The food was extremely spicy, I'm still having tears and bad feeling, and the food was also overcooked. The pan fried momos were stiff too. ",0
,
Also I didn't received Mayanos in this order I expected more on this order and I ordered first time felt very bad,0
,
Disappointed with the packaging,0
,
There is hair in my food,0
,
"Issue created by abhishek.thakur_kt@external.swiggy.in on Oct 23, 2021, 05:40 PM",
,
I have added Cheese dip in as add on but didn't receive that alone which is worth of 20 rupees,0
,
"Issue created by chandrima.sarkar_kt@external.swiggy.in on Oct 21, 2021, 08:03 PM",
,
"I understand that it is a pan fried momo, but tooooo much spicy..could not even eat",0
,
The momo smelt so bad as soon as i only brought it to my mouth,0
,
I think it's not PAN fried momos but schezuwan momos which is entirely different,0
,
The item is burnt and chutney is not there,0
,
"Issue created by vishant_tm@external.swiggy.in on Oct 19, 2021, 07:28 PM",
,
"Issue created by krishnakoli.r3_kt@external.swiggy.in on Oct 18, 2021, 07:33 PM",
,
Momos are delivered..burger is not there,0
,
"Issue created by pinku.kumar_tm@external.swiggy.in on Oct 23, 2021, 08:25 PM",
,
The cheese slices in both the moburgs are missing,0
,
"Delivered on time, ??????",1
,
you could have send green sauce also.. Try to do that,0
,
The delivery executive was very courteous! Give him a raise!,1
,
"Just ok food, nothing great",1
,
nice service from the team...,1
,
late delivery..that's why 2 stars...should have been faster,0
,
I took 4 burgers all tasted amazing my friends never had a burger in momo they loved it and was loving to eat it again. We will surely come again to eat Wow Momo Mo Burger ????,1
,
it wasn't fresh and chutney was pathetic,0
,
"Momo platers are so amazing . In that we can have all flavour like steam , fried &amp; pan fried , I really loved",1
,
late and cold with no taste at all,0
,
very tasty and short time delivered,1
,
Very long time taken for completion of this order,0
,
Food was cold and did not taste as it normally tastes.,0
,
it should be more hot,0
,
Too much oily. Disappointing.,0
,
"two of the boxes contains 3 momos instead of 4 ..seller given 3 momos instead of 4 , it was written that 4 momos will be given",0
,
"was ok, but a bit spicy.",0
,
I haven't received the delivery,0
,
"I have not receive a item one of my order, they didn't even taking calls, horrible experience",0
,
Not valuable,0
,
Burger was amazing ???? the crispy fried momos with Red and green sauce... Nice combination..... ........,1
,
We did not felt good after eating. Too much acidity in stomach. Not sure if they were fresh pieces.,0
,
it's so bad service by restaurant and zamato who served us cold momos,0
,
I am very disappointed with this and don't have words to explain how I am feeling right now. really disappointed guys...,0
,
Restaurant should dispatch the order more quickly.,0
,
low quality.. rotten smell was coming,0
,
I got my food 1 hour after i placed the order the restaurant and the delivery partner were both slow,0
,
really I love to eat momos from Wow! ..but the things is chickens steam  momos are always over cooked! and this time i added in the cooking instruction  don't overcooked it..but still I got overcooked momos ..so little bit dispointed!,0
,
"Everything was cold. Specially if momos are served cold, can't provide its original taste, so I am bit disappointed.",0
,
Ordered chicken steam momo but received fried one. we don't like the fried one hence had ordered for steam momo. disappointed.,0
,
good food,1
,
Very bad service. They sent me incomplete order. No refund or replacement order sent by Zomato.,0
,
please provide what is  mentioned.,0
,
he did not chili and green sos...I write this one..but he didnot get this.....this is not good wow momo,0
,
"it got cold and the stuffing was all spread in the box, it was messed up and so bad in taste.",0
,
This delivery person is the best person I ever mate,1
,
very bad,0
,
"The filling inside the darjeeling veg momo was chunky and undercooked. But the veg moburg was heavenly. About the chicken meal, it was great. ",0
,
it was tooooo spicy even when I selected tomato gravy,0
,
wrong order delivered. Zomato trying to cheat customers,0
,
"Steam momos are really tasty and affordable if certain offers are applied,but giving 4 stars because chicken soup should be provided with steam momos",1
,
wow momo is such a branded company and the fact that they send cold and hard momos is just pure disappointing. Clearly the momos were fried a long time ago and I turned out to be the unlucky customer placing order when they were thinking of disposing their old food.,0
,
"Wow Momo is Always Wow..... I am Momo Lover and my 1st choice is ""Wow Momo"". Taste is no doubt Amazing.. Keep it up. Thank You.",1
,
Found plastic in the momo. I was fortunate that I found plastic &amp; didn't take it. Really worst from Zomato.,0
,
sauce is too much sour in both items ..............,0
,
the food was served cold and the momo was stale. i want a refund,0
,
delicious ???? momos.eager to order more.yummy wow momos.,1
,
"Some of the momos were really fresh, some of them seemed like a day old. Nevertheless had some good momos at a steal price thanks to Zomato.",1
,
taste is not good at all. food was half cooked....,0
,
Momo is always favourite to all people.. Everyone can easily choose momo. .,1
,
"where is the chicken in chicken momo,. I couldn't find it,. ",0
,
"Everyday wow momo is sending hot can of Pepsi, along with the hot momo packet in a same pack.. Should we learn to consider the Pepsi as a Hot drink now.?. . ",0
,
food was cold by the time.it arrived at the location.,0
,
seal was broken.. it was not convincing to seal only in plastic but not in the box.,0
,
"i specifically mentioned to give green and red sauces , they gave neither",0
,
Moburg was very tasty. No need for any sauce it dip. it's already spicy and tasty.,1
,
"This outlet located at Mall of India (Food Court) serves variety of Steam, Pan Fried Momos, fried, Tandoori Momos, MoBurger.. I tried their -. ? Corn n Cheese Fried Momo. ? Chicken Momo . ? Chicken Momo Burger. ? Veggie Sizzler Momo . . Quality is superb but their taste was average. Quantity is too less as compare to price. Better options are available in the market to have good momos. . . Quality - 3/5. Quantity - 2/5. . NOT RECOMMENDED ?",0
,
Good . Moburg was great in taste. Quick delivery.,1
,
I didn't got the exact order and got some other items,0
,
As always awesome taste. Very nice packaging and hygiene products.,1
,
momos taste like old momos smell like 2-3 days old food wow momos is brand dont do this things with customers,0
,
for the 2nd time I got a hair in my food. I am never gonna choose wow momo again.,0
,
the fried momos were soggy and sauce got spilled over,0
,
The fired momos were a bit too oily (I don't like fried ones I got them cause steamed was not avaliable) but overall very good pan fried momos were excellent,0
,
Chutney was not at all good. Infact the momos were not good to consume. Highly disappointed,0
,
Food completely spoiled due to spill over .. Packaging was bad and food was damn cold,0
,
moburger was good but they took alot of time for preparing(1 hour),0
,
Should not take other of you can't deliver it on time.,0
,
Pepsi was not in the order delivered and I have paid for it,0
,
oil bhaut jyada tha momo me. aur acche se frued bhi nhi the,0
,
No taste at all.. . felt like waste of money . pls take Care from next tym.,0
,
momos were good.why did the sauce taste like rotten...does it tastes like.that always....and smells rotten too,0
,
very Spicy ??and unable to eat because of that much sipcy is there in that food,0
,
over fried. long waiting. Not good for organisation like Wow Momos.,0
,
it was cold hence all the taste got worst. although quality  was good.,0
,
dont buy it worst i ordered veg momos and i got non veg chicken momos,0
,
The burger was absolutely uneatable. There is no quality control or consistency,0
,
"Wow momos was really good, i had ordered many times before. Now its really pathetic. The red sauce tastes like shit &amp; stale. Momos were also really bad.",0
,
"one of the best momo's I have had. Whether it's steam or pan-fried all of them are equally good. . The price is a little bit high but is value for the money.. You will not feel content by just having one serving, You will definitely ask for more.. Kudos to the team of Wow momo!. ",1
,
quantity of momos  is too less as compared to price and there is not a single vegetable in veg moburg.,0
,
non sense food.ibam f&amp;b executive but itina ghatia cook.,0
,
Unhappy with the momos its been 2nd time we ordered this and the smell very oily tooo,0
,
instructions were not followed.. asked it to be spicy the gravy tasted sweet,0
,
"My order was misplaced, and the restaurant simply denied !",0
,
Veg momos and Cheese &amp; corn fried momos were super delicious,1
,
Some momos were really smelly and had a really weird taste,0
,
item missing... so I'm very disappointed.. I hope next time you don't do that,0
,
So less gravy,0
,
food was good but it takes 1.2 hours for delivery within 3 kms,0
,
Superb food and Staff was so polite and professional. Specially Your noodles and chili paneer. great,0
,
no mayonnaise dip sent... 3 plates momo and only 2 dips sent,0
,
it was delayed. but was hot and worth the wait. thank you,0
,
There is no salt in that dish and it was blended like taste . nd the order was so late to reach me worst experience,0
,
Momos awesome. What crap chutneys u r using inside burger? Please don't use those horrible chutneys! whole excitement goes away!,0
,
paneer and chicken momos was fine but burger is not upto the mark and the taste and preparation is not good with it.,0
,
thats nicely cooked.thankyou for surving. .......,1
,
Momo chutney was great. burger was welcome variety,1
,
The chutney was spoiled likewise it . spoiled my whole excitement!,0
,
The taste was as usual but the items were served warm not hot. That degraded the taste much more.,0
,
the layer was too thick,0
,
Very poor quality. Full waste of money  never order from this resturant,0
,
"just waw.yammy,so good,i love it so much.thanks zomato",1
,
"Spillage issues, please make sure you have no spilling problem next time... It's 2nd time spilling",0
,
great taste and packaging is also good.,1
,
Delivery boy is good. .  but Zomato call and reply are worst event in bot they make spelling mistakes,0
,
"pathetic. Momos were not fresh. Do not even think to try that, you will regret",0
,
The qualities have somewhat  dropped for the corn cheese and Darjeeling momo. Please maintain the quality to retain your customera,0
,
veg chilli momo was better. expected more basically!,0
,
i added the instructions of less spicy it was tooooo spicy my friend didn't ate it im very must upset with your services,0
,
The moburg was not good the momo was fried too much felt biter down the palet,0
,
best menu in wow momos  I ordered 2 plates for 3 ppl so it was amazing,1
,
cheese dip not sent by this wow momo center ??????,0
,
the momos are so small that it's not momos its like eating big french fries . also no mayonnaise no good at all . that's for spoiling my meal,0
,
????,1
,
"On time delivery and mouth watering food, very satisfied!! ",1
,
This restaurant is the best restaurant to enjoy the best momos. Staff is very helpful. customer services are on point. this is the best restaurant. very happy with the services. quality of food is very good. highly satisfied.,1
,
very good service,1
,
"The momos came with broken boxes, momos were cold and the chicken inside was very dry and not juicy at all.",0
,
chicken was not fredh,0
,
Cold food. Item was delivered late stating high demand but still the item is very cold and smells rotten.item package is also damaged. Portion is less,0
,
worst test,0
,
Horrible! How can an outlet like Wow Momo can do this ? The fried momos which I ordered were totally burnt. I couldnt eat it due to the burnt smell and threw it. Very Shameful! I shall share this with the concerned legal authority and officer incharge since you have provided very poor quality of food which can harm my health and my family.,0
,
"it was rotten and smelled really bad , I didn't like it",0
,
they sent me chicken pan fried momo instead of veg darjeeling pan fried momo,0
,
The momo chutney could have been better,0
,
very good ..........................................,1
,
awesome wow fabi sjakkansuh shak. ajab aha hajq qusb,1
,
"Red sause was very little, atleast expected a spoon in the packet.",0
,
The moburg is delicious and the chocolate momo is heaven??,1
,
taste very yumm.but it's not a healthy option,1
,
satisfy with the delivery process,1
,
"it's name only Darjeeling Chicken Momo,,bt no taste or bite of a single chicken...",0
,
serves one perfectly and momos are quite good &amp; fresh,1
,
steam momo was rotten. I don't like it.. it was not expected from a reputed restaurant,0
,
okay so it isn't normal right they gave me momos inside that burger instead of patty,0
,
bring something spicy,0
,
The told 10 pieces 99/- only when I order it was only 5 pieces now I checked out it was show Me 5 prices this was really bulshit??,0
,
they are least bouthered to check what they send to the customer orders for 2 item but got only 1 and also not complete,0
,
"In Frame: Momo Burger. Price- ?100. .. .. (Ps: Instead of the patty they had momos in the burger. Something new and it tasted good. Also, there are some combo offers too! It’s a small seating area.). .. . Follow @Appetite Calls.  ",
,
not good,0
,
"I ordered veg momo but they delivered chicken, at the same time I order 2 plates but they delivered only one, this was a very bad experience with the restaurant. they spoiled my auspicious day",0
,
Schezwan momos were very bad. Had bad taste to it.,0
,
The momos tasted a little stale.,0
,
perfect delivery.,1
,
tastes delicious..but a spoon was required..,1
,
yummy ????,1
,
White miyoni cream not available this is 2nd time . Your quality is good . But without miyoni cream no taste,0
,
cold drinks is not cool,0
,
WOW MOMO is my favourite momo shop their quality of food is fantastic.,1
,
delivery partner was very nice. 5 stars for him.,1
,
They didn't provide any sauces with steamed momo..very disappointing.. ??,0
,
cabbage mom no not veg,0
,
"The momos were rather bland and not very tasty. Not bad but not great either, expected better. I've had better momos from other outlets.  ",0
,
Both the items are delicious in taste and meet our expectations. But I found them bit on spicy side.,1
,
Darjeeling chicken momo was not fresh at all.,0
,
Wrong order got delivered.ordered for fried momo but received steam momo. Utterly disgusting!,0
,
the sauces are too spicy you can add mayo dip as an accompaniement..pan fried momos were really spicy one couldnt really taste the filling...corn and cheeese and chicken cheese are good combos for filling..,0
,
Parcel missing,0
,
The Quality of Food was very bad...not fresh at all and almost stale in some cases. Extremely bad experience,0
,
you can improve chutney,0
,
The filling tasted spoiled,0
,
"Liked it, portion and taste both were as expected.",1
,
"Oil seemed reused. Only 1 sachet of chatni for a meal and a separate plate of momos, no mayo provided. I understand that it's @99 but still.",0
,
tomato garlic sauce was too spicy,0
,
We simply love the steamed momos... hot fresh steam momos are awesome!!,1
,
Momo with a mosquito was delivered. Will appreciate if hygiene is taken into consideration,0
,
"very poor experience, instead of corn cheese fried momo, they sent me veg fried momo that too full of oil, I am not supposed to eat onion today, by mistake I took that. that's really shameful. ",0
,
the food was altogether bland. and the chilli sauce was not fresh.,0
,
"Please note this is not in reflection of the taste or packaging of food. The order was missing items. I had ordered 1 corn cheese and 1 paneer fried mono along with combo dish of 2 veg moburg. But, I only received the 2 moburgs. This is my second order from here, I hope it’s not repeated and though Zomato has come through with the refund, I would have loved to have my full order. Now I have to cook to fill my belly. I request the restaurant to check the order before it’s sealed and handed over for delivery. The delivery agent was spectacular and even confirmed that was the package he received and went out of his to recheck and confirm. The moburgs were excellent.",0
,
"I have ordered for vegetarian combo , but received a chicken combo. As soon as realised that it’s not vegetarian . I raised my issue with zomato. Zomato called the restaurant and raised the issue , but restraunt Confirmed that it was vegetarian. I have all the pictures and video that shows tht it’s chicken.. I am a vegetarian , and because of their neglegance I had non veg.. it’s a religious issue… i would love to take a legal action again this restaurant.",0
,
IF YOU ORDER ONLINE THEY NEVER PROVIDE YOU THE GREEN CHUTNEY.,0
,
"Stale food. I've ordered from Wow momo quite many times but they've never given stale food. This one time on the everything @99 offer, they gave me stale chicken momos. Wouldn't want anyone to experience that",0
,
The momos were stale and smelling bad had to throw it in dustbin,0
,
It’s horrible to get from wow momo you can’t enjoy Momo if you will buy from wow mamo,0
,
"wow momo was delivered without chutney, which is the most ingredient of momo. Extremely upset",0
,
Veg Moburg tastes really great and it’s filling for a evening snack,1
,
"one of the best momos restaurant is Wow Momos and I love to have momos from there . amazing filling , delicious taste and spicy chutney just an awesome combo of lip smacking momos and for foodies . must try momos from there where you will get an amazing range of momos in veg and non veg variations ",1
,
i want my money back... so nad food. really don't like at all,0
,
Sauce wasn't provided,0
,
good,1
,
"I don't mind waiting a bit for the order, but uncooked or bad tasting stuff destroys the experience. Hope you understand.",0
,
pathetic food,0
,
The delivery too 90 minutes. the food was all soggy and cold. the sauges was all spilled over,0
,
The momo skin is getting thicker day by day. And their green chutney is missing ??,0
,
the delivery man was very sweet really like the food,1
,
it was good,1
,
Good,1
,
momo was too bad.it was stale and smelly.how can you give like this to any customer .what if after eating it would have effected our health,0
,
These are the best momos i ever had.. Lovely and tempting.... Do try out these momos... Totally loved it??,1
,
"what is the point of delivering 10mins early when the order is wrong, couldn't eat due to spicy sauce",0
,
please increase the portion,0
,
The way to the heart of the people is through good food .,1
,
Packing was worst that Burger was came out of parcel,0
,
Momos are definitely good. Filling and Everything just the sauces given with that are too chilli you know. Momo Burgers are awesome ?? really something amazing ??,1
,
food were smelling and stuffing is not cooked properly,0
,
????,1
,
stale and not fresh at all,0
,
it got bit soggy,0
,
"I have selected tomato based gravy, but they prepared in sezwaan spicy ( corn &amp; cheese pan fried momos) and nobody pick the phone for special instructions",0
,
Had chicken fried momos and they were just perfect server with great sauce..And tried chocolate momo for dessert and they were actually very good,1
,
"ordered schezuan chicken pan fried momo. was really good, and had a tasty soft crust",1
,
extra oil in fry moms,0
,
They could have given mayonese also,0
,
Smells like chicken,1
,
It was delicious?? and the food was properly packed,1
,
very good.,1
,
I am a regular to this place on salunke vihar road and they serve the best momos...Have always enjoyed their momos,1
,
they were too dry. not at all upto the mark.,0
,
I tried their Momos burger and Paneer Momos. Burger was good but they have to work on their Paneer Momos.,0
,
it is awesome,1
,
supplied veg momo instead of corn chease,0
,
also provide disposals and sause packets,1
,
If you want to dine in then don't place online ordering. They have issues with their system due to which there will be huge delay in getting your order.,0
,
"momo s were all broken  and disintegrated , it appeared  they had been cooked long time back.... wasn't  happy with the food s appearance  and taste.... accompanying sauce also not sent...",0
,
good service,1
,
very bad taste as food is not well cooked ????????,0
,
waste of money,0
,
wrong item delivered. We ordered chicken cheese fried momos and received Schezwan momos and the taste sucks !!,0
,
yum,1
,
taste is ok ok,1
,
goood,1
,
Steam Darjeeling Chicken Momo did not taste fresh :(,0
,
food is spoilage... wastage of money,0
,
momo is not hot,0
,
okay,1
,
"I'm fist time visiting wow momo really like momo fried schezwan momo love it,?? and service type is excellent........... thankyou. . . ",1
,
Ordered for panfried momos and they were amazing..Main thing for me was that they were packed nicely and food tasted fresh,1
,
"food was not good, smelling bad and green chutney was not there.",0
,
"i ordered thukpa soup and a steamed momo but I got thakpa soup without thukpa anyways I thought of calling WOW MOMO RESTAURANT , I call them 3 times but no one answer my call ......very very bad experience",0
,
taste was awesome,1
,
very bed taste and smell and 2nd time the same issue has been repeated by wow momo,0
,
pahle ka bna hua tha uske sare veggies bahar aa gye the sirf fried momo thik tha lekin wo bhi thanda,0
,
very bad momos stinking and smelling don't buy ????????,0
,
Packaging was bad. Three of the four boxes had not been closed properly and the chutney had also leaked..,0
,
No,0
,
.,
,
"worst ever moberg i ever had....cold bread, worst ever experiance ",0
,
"it was so bad , waste of money",0
,
No Mayonise was provided.,0
,
Ordered panfried momos for the first time and to my surprise they were really tasty..The sauce it was tossed in was amazing,1
,
i didn't get my cheese dip which makes me so disappointed.,0
,
food quality is good but can improve quantity,0
,
"I ate momos in that momos 2 times I ate a stone piece it was bad for me and my guest, you guys doing this thing for us we are paying the full amount which you mention but you delivered momos full of pieces of stones I will never buy momos from you if you are not giving us good variety and quality so shut your shop.",0
,
food quality is so good ..but it took a lot of time to get delivered,1
,
stuffing has come out.very bad taste.,0
,
musty smell on outer cover and not chilled,0
,
the test is good but I couldn't find any corn in this order.I hope I would as I have ordered a cheese corn momo.,0
,
not given pepsi and fried momo was extra oily,0
,
Sauce is big part of momos which they keep messing up. Don’t send some random sauce,0
,
I had a veggie fried momo and it was truly amazing and crispy the sauce is very spicy I like the food very much.. thank you wow momo your wow..,1
,
they gave stale momos,0
,
nice,1
,
OK GOOD,1
,
very good,1
,
excellent,1
,
GOOD TASTE AND WELL MANNERED DELIVERY PERSONNEL.THANKS,1
,
chatni kyu nhi di. or na hi tisu diye ......,0
,
again 3 pieces out of 10 are burnt..sad services from wow momo,0
,
very tasty and but too much spicy,1
,
plz faster delivery provide.. my train was almost missed,0
,
too spicy,0
,
very good,1
,
great food,1
,
"The momos that is being delivered were Stale and the taste is also not of that quality. In my previous orders,the momos delivered were so tempting and juicy.. . I'm not satisfied this time. ",0
,
Toooo spicy ??,0
,
momos are usually overcooked ... many time I complain about it but again I face the same issue!,0
,
Very Fast Delivery,1
,
bewkoof banaate ho aap log. video recording kiya hai,0
,
quantity is leee,0
,
today's momos were completely cold,0
,
didn't received what I have order,0
,
didnt gave me the sauce with momo after paying 250...worst service,0
,
Good behavior,1
,
the food was stale and rotten. it seems like some ones left over was served,0
,
good,1
,
Good,1
,
Worst restaurant.  I wasted my money by Order this restaurant.  Pls don't waste ur money. Try to another branch.,0
,
Totally burn product with very bad smell .. ......,0
,
good,1
,
good taste,1
,
this is not tandoori momo,0
,
the restaurant never gives that Green chutney that is mentioned in the description,0
,
??,1
,
Next time make it lil less spicy rest is osm tasty but try to give it less spicy next time,0
,
In this outlet staffs are not cooperative.. they always suggest some high price momos.. I'm not satisfied.. salkia is much better than you guys.. atlist they listen what we want to eat.. after that they give some suggestions .. in salkia outlet there was a lady don't know her name but she is too much friendly.. a very good listener and communicator.. behaviour achha hona chahiye.. momo to abhi bohot jaga milta hai.. &amp; howrah mai wow momo ka ak hi outlet nhi hai abhi...,0
,
Although no complain with taste but sadly one momo was less in one box. It should have been 5 in box. but it was 4 in one box. So disappointing,0
,
as always lajawab,1
,
this is the only outlet in Acropolish mall always delivered by at least 1 hour from the scheduled. there is no fault of Zomato delivery person.,0
,
why no soup is served with 2 plates of Darjeeling steam momo..how someone will eat momo without soup or chatni ?? you are worse..waist of my money,0
,
please try to give delivery quickly it was cool for the late delivery of order...that's y give 2 rating,0
,
"5 pieces momos are not sufficient, Make it 6 pieces so I can share with my friend equally. ",0
,
Berger &amp; veg momo is good bt chicken momo quality is very bad,0
,
"The Momos were rotten &amp; bad odour, had to throw all of them",0
,
"Wow Momo has a wide variety of Momos.. But some dishes are too extra.. My favourite is chicken burger ...try once,. Double chicken burger is best.. And steam chicken momos are also really nice.. Chicken quality is great. My only reason for Wow momo. ",1
,
I didn't get my Pepsi.. which is include in combo,0
,
The Momos were stale and smelt very bad,0
,
food was not good.. it was horrible am not satisfied..,0
,
Perfect taste,1
,
I love it,1
,
I really relished the Butter Masala Momos from WOW! MOMO.,1
,
momos are bad smelling aise hi bhej diya koi check nahin hua. very bad experience never do this,0
,
it was too salty.,0
,
special instructions were also not followed,0
,
"200 paid for burnt food , don’t u guy see when u pack the food ,,",0
,
quality is not upto the mark at all. waste of money.,0
,
stale momos are sold particularly this dunlop outlet..even roadside momos are far better than wow momo...if they allow me to rate 0 stars ...I would have given without any doubt,0
,
tasty,1
,
Absolute garbage,0
,
as always it was delicious after??? love it,1
,
The food is messed up I just don’t want it just look at the picture I order form wow I thought I get good packaging and I get this,0
,
Sause is too hot.,0
,
ordered veg bt received non veg foolish restaurant waste of my money,0
,
Good food,1
,
Was sent a different item of lower price.,0
,
Didn't receive the Pepsi cans. Zomato has been kind enough to refund the money accordingly,0
,
valo,1
,
"Best momos ! bhai inse badiya momos na khaaye kabhi...  test mein no.1 , crispy mein no.1.  aur kya kahu...?? ..  Packing bhi ek dum badiya thi... , .",1
,
????yummy,1
,
Not so good at all..only thing that tasted good was fried momo..,0
,
nice.,1
,
the delivery guy came inside the house without proper approval.,0
,
wow.. tasty,1
,
"Badly fried momos, one momo had only a shell all the ingredients stayed back at the outlet. Really bad stuff.",0
,
The packing was not done properly. I wish I can give minus ratings,0
,
not only the restaurant name is WOW!. its taste also WOW!??,1
,
"Good one but a little overpriced  and tall delivery charges, managed with Zomato discounts. ",1
,
nice taste,1
,
not bad,1
,
tasty and thank you for not using plastic bag. loved the taste as well,1
,
ordered tomato sauce momo while received shezwan... very poor acknowledgement,0
,
Bad taste,0
,
thank you,1
,
"not good, mayo missing and all the momos are tormented, never expected this",0
,
pls next time add some real cheese at chicken cheese momo that would be better ??,0
,
gud,1
,
great taste as always ! loved the pan fried momos.. its good for chilli living people. Also the paneer fried momo were different but good. I live their tandoori momos better than any others.,1
,
Having a piece of hair in momos. The burger is Unhygienic food And unhealthy,0
,
Very bad experience,0
,
Extremely bad taste with less quantity. Momos aren't worth of so much money and the street momos are so good than this.. But no doubt chicken portion in Momos are good enough. So 2 Star only. . Taste is good but so much chilly in the Schezuan Sauce. I would suggest to make at your own. Sorry Wow Momos,0
,
Hygiene was poor as we found hair in our food,0
,
the restaurant delayed in preparation of food. please take care of this. If this continues I won't order anything from that restaurant,0
,
veg momos r not very good,0
,
the food was worst taste..most of the pieces were smelt bad..that was not a fresh food,0
,
We had good dining experience at Malad Infinity Mall and routine buyer of it. Order many times from Malad East as well but this it was very bad experience,0
,
driver took so much of time to deliver that momos were totally cold nd tasteless,0
,
taste is so good......,1
,
Steam momos was average in taste. some of the momos were punctured and the stuffing came out of it. Rest items were good. I think you should work after the steam momos. They were unsatisfactory.,0
,
serves one guy with a good enough appetite. someone who eats very little should order only 1. there are 5 pieces in a box,0
,
Quick Delivery,1
,
I ordered 3 boxes of momo but I got only 2 why???. my money is gone,0
,
The food quality was not good. Apart from that the serving was way too less and the charges for the same are too much!,0
,
not worth the money charged.,0
,
D Chef is Good.. Little bit less Spicy for Tomato Garlic would helped...Thanks Chef fr d Burger..Loved it...,1
,
Momo was really good taste but chilly sauce or chutney was bad due to bad smell which we can’t eat it. Please make sure to deliver the fresh chutney.,0
,
The darjeeling momos were great.  But the best thing was that the entire package was sealed tight with zomato tapes. This would prevent the chances of missing food items due to delivery boy ! I am satisfied with the service.,1
,
the sauce is very very low qualitu..it stinks.,0
,
pathetic,0
,
Nice food and awesome taste. Delivered early which is very good,1
,
excellent,1
,
Bad experience wow momo,0
,
"Completelycold, completely disappointed. ",0
,
it should be 6 pieces  fir the same amount,0
,
The momos were not fresh. The chutney was also very bad.,0
,
The Moburg was something unique and delicious however Chicken Fried Momos were not that great.,0
,
Wow experience I ever seen food was too good and Packaging was osm I see thankyou.......................,1
,
I want to report that I received the wrong items,0
,
Steam Momo was soggy. Black spots was there . Had to throw 3 pieces.,0
,
